"Date","Price","Open","High","Low","Vol.","Change %"
"04/06/2023","4.48","4.43","4.51","4.38","8.14M","0.00%"
"04/05/2023","4.48","4.52","4.59","4.40","13.55M","-1.54%"
"04/04/2023","4.55","4.54","4.60","4.49","12.72M","0.66%"
"04/03/2023","4.52","4.64","4.70","4.34","24.03M","-5.04%"
"03/31/2023","4.76","4.84","4.93","4.73","17.27M","-1.04%"
"03/30/2023","4.81","4.69","4.83","4.67","19.11M","5.02%"
"03/29/2023","4.58","4.42","4.59","4.37","17.57M","5.05%"
"03/28/2023","4.36","4.37","4.45","4.29","11.05M","-0.91%"
"03/27/2023","4.40","4.24","4.46","4.21","14.76M","5.52%"
"03/24/2023","4.17","4.20","4.26","4.13","21.42M","-2.11%"
"03/23/2023","4.26","4.40","4.49","4.24","16.66M","-1.39%"
"03/22/2023","4.32","4.48","4.55","4.32","16.43M","-2.48%"
"03/21/2023","4.43","4.47","4.52","4.42","13.49M","0.00%"
"03/20/2023","4.43","4.67","4.68","4.41","21.89M","-5.54%"
"03/17/2023","4.69","4.59","4.71","4.54","32.83M","1.74%"
"03/16/2023","4.61","4.42","4.63","4.39","17.44M","3.83%"
"03/15/2023","4.44","4.30","4.49","4.29","20.39M","-0.89%"
"03/14/2023","4.48","4.69","4.73","4.37","26.99M","-0.88%"
"03/13/2023","4.52","4.24","4.70","4.14","27.90M","0.67%"
"03/10/2023","4.49","4.72","4.74","4.45","32.19M","-5.27%"
"03/09/2023","4.74","4.93","4.97","4.69","23.85M","-5.01%"
"03/08/2023","4.99","4.85","5.10","4.85","26.65M","3.31%"
"03/07/2023","4.83","4.89","4.92","4.69","23.83M","-2.42%"
"03/06/2023","4.95","4.69","5.00","4.68","22.12M","5.77%"
"03/03/2023","4.68","4.64","4.75","4.56","34.50M","0.21%"
"03/02/2023","4.67","4.78","4.88","4.65","37.05M","-3.91%"
"03/01/2023","4.86","4.99","4.99","4.61","35.19M","-3.57%"
"02/28/2023","5.04","4.97","5.11","4.95","20.87M","1.41%"
"02/27/2023","4.97","4.98","5.10","4.93","25.26M","0.61%"
"02/24/2023","4.94","4.84","4.96","4.78","25.02M","1.02%"
"02/23/2023","4.89","4.87","4.93","4.80","18.68M","1.24%"
"02/22/2023","4.83","4.82","4.89","4.74","26.29M","1.47%"
"02/21/2023","4.76","4.96","5.02","4.73","20.80M","-4.61%"
"02/17/2023","4.99","5.08","5.21","4.91","40.62M","-6.55%"
"02/16/2023","5.34","5.04","5.53","4.88","53.75M","1.91%"
"02/15/2023","5.24","5.05","5.44","5.00","91.25M","4.80%"
"02/14/2023","5.00","4.86","5.09","4.84","50.35M","2.67%"
"02/13/2023","4.87","4.77","4.99","4.73","20.16M","2.74%"
"02/10/2023","4.74","4.75","4.85","4.66","21.21M","-1.86%"
"02/09/2023","4.83","5.07","5.11","4.80","27.81M","-3.59%"
"02/08/2023","5.01","4.91","5.08","4.84","27.62M","2.04%"
"02/07/2023","4.91","4.91","4.94","4.78","24.67M","0.20%"
"02/06/2023","4.90","4.83","4.95","4.78","22.58M","0.00%"
"02/03/2023","4.90","4.80","5.01","4.72","35.74M","-0.41%"
"02/02/2023","4.92","4.84","5.01","4.83","36.61M","3.14%"
"02/01/2023","4.77","4.65","4.82","4.53","34.61M","2.58%"
"01/31/2023","4.65","4.44","4.72","4.41","33.17M","5.68%"
"01/30/2023","4.40","4.33","4.43","4.26","18.11M","0.69%"
"01/27/2023","4.37","4.20","4.42","4.18","26.09M","3.31%"
"01/26/2023","4.23","4.26","4.37","4.20","22.77M","2.67%"
"01/25/2023","4.12","3.99","4.15","3.89","20.22M","2.23%"
"01/24/2023","4.03","3.92","4.04","3.87","21.01M","2.81%"
