"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","12,967.20","13,056.79","13,063.61","12,894.66","247.05M","-1.01%"
"04/04/2023","13,100.08","13,165.32","13,201.72","13,049.98","227.52M","-0.37%"
"04/03/2023","13,148.35","13,085.26","13,157.41","13,036.55","246.99M","-0.25%"
"03/31/2023","13,181.35","12,969.53","13,187.74","12,969.53","317.30M","1.68%"
"03/30/2023","12,963.14","12,937.17","12,986.51","12,894.17","222.52M","0.91%"
"03/29/2023","12,846.03","12,768.14","12,867.32","12,735.07","269.29M","1.87%"
"03/28/2023","12,610.57","12,654.56","12,654.56","12,517.87","202.21M","-0.49%"
"03/27/2023","12,673.07","12,800.53","12,838.71","12,648.14","224.72M","-0.74%"
"03/24/2023","12,767.05","12,701.86","12,768.57","12,608.15","260.23M","0.30%"
"03/23/2023","12,729.23","12,735.60","12,900.08","12,611.84","296.74M","1.29%"
"03/22/2023","12,567.15","12,742.05","12,943.16","12,565.96","278.37M","-1.37%"
"03/21/2023","12,741.44","12,643.92","12,761.43","12,582.76","302.19M","1.42%"
"03/20/2023","12,562.61","12,490.10","12,577.35","12,414.86","291.01M","0.34%"
"03/17/2023","12,519.88","12,570.91","12,672.95","12,444.08","715.08M","-0.49%"
"03/16/2023","12,581.39","12,216.08","12,594.72","12,191.90","343.74M","2.69%"
"03/15/2023","12,251.32","12,083.20","12,269.18","12,026.54","342.85M","0.42%"
"03/14/2023","12,199.79","12,080.18","12,217.71","12,035.61","323.55M","2.32%"
"03/13/2023","11,923.17","11,752.10","12,072.63","11,695.41","350.80M","0.79%"
"03/10/2023","11,830.28","12,001.74","12,069.43","11,790.51","308.28M","-1.38%"
"03/09/2023","11,995.88","12,230.84","12,340.19","11,970.85","275.43M","-1.80%"
"03/08/2023","12,215.33","12,181.06","12,236.90","12,103.04","233.92M","0.52%"
"03/07/2023","12,152.17","12,303.61","12,343.43","12,130.07","258.35M","-1.22%"
"03/06/2023","12,302.48","12,344.65","12,466.66","12,298.50","239.30M","0.10%"
"03/03/2023","12,290.81","12,108.83","12,300.23","12,095.56","278.56M","2.04%"
"03/02/2023","12,044.87","11,831.17","12,074.58","11,831.17","244.25M","0.89%"
"03/01/2023","11,938.57","12,026.72","12,053.91","11,906.61","247.14M","-0.86%"
"02/28/2023","12,042.12","12,040.32","12,146.44","12,022.23","315.36M","-0.13%"
"02/27/2023","12,057.79","12,106.79","12,158.29","12,035.09","224.90M","0.74%"
"02/24/2023","11,969.65","11,980.79","12,018.32","11,901.03","263.14M","-1.73%"
"02/23/2023","12,180.14","12,224.44","12,227.40","12,003.72","284.13M","0.94%"
"02/22/2023","12,066.27","12,085.67","12,155.28","12,006.10","261.27M","0.05%"
"02/21/2023","12,060.30","12,206.61","12,256.16","12,058.40","290.93M","-2.41%"
"02/17/2023","12,358.18","12,352.30","12,384.89","12,233.79","265.09M","-0.68%"
"02/16/2023","12,442.48","12,498.73","12,653.08","12,440.00","293.43M","-1.93%"
"02/15/2023","12,687.89","12,529.97","12,688.17","12,487.15","246.86M","0.77%"
"02/14/2023","12,590.89","12,410.01","12,627.40","12,358.59","272.42M","0.71%"
"02/13/2023","12,502.31","12,357.54","12,522.63","12,313.83","255.75M","1.60%"
"02/10/2023","12,304.92","12,309.51","12,372.89","12,204.28","266.69M","-0.62%"
"02/09/2023","12,381.17","12,676.53","12,679.32","12,328.25","308.10M","-0.91%"
"02/08/2023","12,495.38","12,680.03","12,709.45","12,471.19","306.44M","-1.83%"
"02/07/2023","12,728.27","12,474.25","12,771.57","12,421.54","318.36M","2.12%"
"02/06/2023","12,464.51","12,468.80","12,558.66","12,412.76","251.98M","-0.87%"
"02/03/2023","12,573.36","12,522.69","12,828.15","12,522.69","343.27M","-1.79%"
"02/02/2023","12,803.14","12,655.46","12,880.43","12,604.74","395.33M","3.56%"
"02/01/2023","12,363.10","12,084.52","12,456.80","12,010.74","342.54M","2.16%"
"01/31/2023","12,101.93","11,915.97","12,103.30","11,915.97","314.29M","1.59%"
"01/30/2023","11,912.39","12,047.05","12,086.56","11,906.69","277.93M","-2.09%"
"01/27/2023","12,166.60","12,001.32","12,248.15","12,001.32","343.86M","0.96%"
"01/26/2023","12,051.48","11,974.97","12,053.74","11,854.04","266.40M","2.00%"
"01/25/2023","11,814.69","11,636.01","11,841.81","11,550.46","254.58M","-0.27%"
"01/24/2023","11,846.64","11,804.13","11,889.37","11,780.25","213.95M","-0.22%"
"01/23/2023","11,872.54","11,653.69","11,918.84","11,619.14","289.33M","2.18%"
"01/20/2023","11,619.03","11,364.72","11,621.78","11,332.26","343.34M","2.86%"
"01/19/2023","11,295.67","11,345.53","11,387.61","11,251.94","258.59M","-1.00%"
"01/18/2023","11,410.29","11,634.80","11,690.02","11,403.49","270.21M","-1.27%"
"01/17/2023","11,557.19","11,531.29","11,614.03","11,484.02","261.63M","0.14%"
"01/13/2023","11,541.48","11,363.52","11,547.67","11,350.84","229.09M","0.71%"
"01/12/2023","11,459.61","11,442.89","11,499.69","11,246.02","264.80M","0.50%"
"01/11/2023","11,402.53","11,256.86","11,402.92","11,220.75","278.73M","1.76%"
"01/10/2023","11,205.78","11,069.05","11,206.52","11,051.70","231.44M","0.88%"
"01/09/2023","11,108.45","11,132.33","11,304.84","11,085.38","273.87M","0.62%"
"01/06/2023","11,040.35","10,807.93","11,082.59","10,696.92","315.22M","2.78%"
"01/05/2023","10,741.22","10,838.74","10,838.74","10,729.73","279.74M","-1.59%"
"01/04/2023","10,914.80","10,948.32","10,980.52","10,790.55","291.71M","0.48%"
"01/03/2023","10,862.64","11,039.69","11,091.70","10,771.59","293.99M","-0.70%"
"12/30/2022","10,939.76","10,835.59","10,942.01","10,778.64","224.00M","-0.10%"
"12/29/2022","10,951.05","10,797.65","10,980.82","10,776.64","229.51M","2.54%"
"12/28/2022","10,679.34","10,806.22","10,897.67","10,672.45","211.03M","-1.32%"
"12/27/2022","10,822.51","10,944.56","10,956.23","10,809.10","220.19M","-1.48%"
"12/23/2022","10,985.45","10,915.97","11,006.43","10,830.90","191.57M","0.27%"
"12/22/2022","10,956.14","11,098.46","11,114.23","10,784.30","305.00M","-2.49%"
"12/21/2022","11,235.88","11,112.54","11,285.72","11,086.30","237.54M","1.48%"
"12/20/2022","11,072.42","11,021.91","11,143.35","10,968.02","264.25M","-0.11%"
"12/19/2022","11,084.59","11,239.67","11,251.57","11,030.15","285.92M","-1.42%"
"12/16/2022","11,243.72","11,313.76","11,382.66","11,175.92","860.90M","-0.89%"
"12/15/2022","11,345.22","11,573.26","11,590.80","11,300.66","325.28M","-3.37%"
"12/14/2022","11,740.92","11,822.98","11,941.28","11,620.26","295.70M","-0.79%"
"12/13/2022","11,834.21","12,141.18","12,159.23","11,727.38","349.42M","1.09%"
"12/12/2022","11,706.44","11,573.15","11,706.44","11,529.75","245.45M","1.24%"
"12/09/2022","11,563.33","11,594.38","11,707.08","11,550.31","243.50M","-0.64%"
"12/08/2022","11,637.50","11,540.03","11,671.93","11,470.68","236.99M","1.22%"
"12/07/2022","11,497.39","11,491.20","11,576.07","11,432.38","228.03M","-0.45%"
"12/06/2022","11,549.68","11,775.21","11,790.93","11,488.82","233.60M","-2.01%"
"12/05/2022","11,786.80","11,900.74","11,957.30","11,732.20","228.80M","-1.73%"
"12/02/2022","11,994.26","11,845.31","12,025.36","11,827.84","234.75M","-0.40%"
"12/01/2022","12,041.89","12,030.97","12,113.81","11,928.85","256.77M","0.10%"
"11/30/2022","12,030.06","11,506.00","12,030.06","11,481.98","495.38M","4.58%"
"11/29/2022","11,503.45","11,589.86","11,613.24","11,450.55","195.88M","-0.73%"
"11/28/2022","11,587.75","11,684.07","11,763.64","11,555.41","238.64M","-1.46%"
"11/25/2022","11,759.62","11,777.86","11,803.73","11,749.50","70.46M","-0.67%"
"11/23/2022","11,838.71","11,726.14","11,866.41","11,722.01","180.48M","0.97%"
"11/22/2022","11,724.84","11,590.06","11,731.36","11,503.34","217.51M","1.48%"
"11/21/2022","11,553.45","11,624.00","11,664.27","11,524.44","219.80M","-1.06%"
"11/18/2022","11,677.02","11,792.79","11,792.79","11,579.92","247.36M","0.00%"
"11/17/2022","11,676.86","11,524.21","11,737.47","11,519.82","233.85M","-0.19%"
"11/16/2022","11,699.09","11,768.79","11,796.81","11,673.36","251.30M","-1.45%"
"11/15/2022","11,871.15","12,005.27","12,023.50","11,736.00","290.64M","1.45%"
"11/14/2022","11,700.94","11,730.10","11,863.54","11,669.63","272.08M","-0.98%"
"11/11/2022","11,817.01","11,602.29","11,839.97","11,537.20","318.07M","1.82%"
"11/10/2022","11,605.96","11,351.07","11,610.22","11,235.74","451.03M","7.49%"
"11/09/2022","10,797.55","10,973.87","11,009.46","10,790.35","295.74M","-2.37%"
"11/08/2022","11,059.50","11,038.31","11,191.64","10,897.91","262.02M","0.75%"
"11/07/2022","10,977.00","10,900.83","11,000.81","10,818.05","265.93M","1.11%"
"11/04/2022","10,857.03","10,910.64","10,933.83","10,633.45","352.45M","1.56%"
"11/03/2022","10,690.60","10,769.43","10,851.76","10,682.36","309.69M","-1.98%"
"11/02/2022","10,906.34","11,300.27","11,410.91","10,903.48","342.40M","-3.39%"
"11/01/2022","11,288.95","11,571.52","11,574.39","11,278.28","258.91M","-1.02%"
"10/31/2022","11,405.57","11,465.21","11,482.99","11,331.26","304.15M","-1.22%"
"10/28/2022","11,546.21","11,176.99","11,563.16","11,176.99","355.96M","3.17%"
"10/27/2022","11,191.63","11,387.71","11,417.04","11,179.90","343.35M","-1.88%"
"10/26/2022","11,405.90","11,409.79","11,657.06","11,388.34","330.32M","-2.26%"
"10/25/2022","11,669.99","11,482.87","11,681.85","11,480.41","275.48M","2.10%"
"10/24/2022","11,430.26","11,321.11","11,468.18","11,166.49","280.87M","1.06%"
"10/21/2022","11,310.33","10,998.17","11,327.77","10,962.01","324.07M","2.39%"
"10/20/2022","11,046.71","11,081.23","11,279.81","11,001.28","241.40M","-0.51%"
"10/19/2022","11,103.38","11,081.82","11,231.46","11,008.11","223.79M","-0.40%"
"10/18/2022","11,147.74","11,368.76","11,374.38","11,035.80","246.56M","0.77%"
"10/17/2022","11,062.53","10,967.25","11,090.87","10,959.75","293.32M","3.46%"
"10/14/2022","10,692.06","11,130.08","11,152.89","10,677.48","299.49M","-3.10%"
"10/13/2022","11,033.58","10,481.58","11,087.66","10,440.64","355.13M","2.30%"
"10/12/2022","10,785.61","10,810.30","10,886.49","10,754.85","234.88M","-0.05%"
"10/11/2022","10,791.35","10,865.32","10,981.91","10,716.33","285.80M","-1.24%"
"10/10/2022","10,926.97","11,048.51","11,063.21","10,824.25","247.71M","-1.02%"
"10/07/2022","11,039.47","11,272.46","11,293.65","10,991.66","325.37M","-3.88%"
"10/06/2022","11,485.50","11,556.40","11,660.55","11,472.83","224.26M","-0.76%"
"10/05/2022","11,573.18","11,429.47","11,647.62","11,312.52","220.46M","-0.08%"
"10/04/2022","11,582.54","11,477.85","11,609.25","11,462.37","282.89M","3.14%"
"10/03/2022","11,229.73","11,059.17","11,296.43","10,985.01","291.05M","2.36%"
"09/30/2022","10,971.22","11,123.11","11,296.16","10,966.95","332.57M","-1.73%"
"09/29/2022","11,164.78","11,334.57","11,339.91","11,038.94","286.17M","-2.86%"
"09/28/2022","11,493.83","11,258.74","11,546.87","11,210.81","286.31M","1.97%"
"09/27/2022","11,271.75","11,411.34","11,502.38","11,175.29","251.06M","0.16%"
"09/26/2022","11,254.11","11,283.14","11,473.36","11,235.74","258.79M","-0.51%"
"09/23/2022","11,311.24","11,398.75","11,402.41","11,169.66","275.27M","-1.66%"
"09/22/2022","11,501.65","11,574.32","11,617.99","11,448.86","254.51M","-1.17%"
"09/21/2022","11,637.79","11,892.72","12,062.52","11,636.25","263.45M","-1.80%"
"09/20/2022","11,851.54","11,855.83","11,951.13","11,761.69","223.97M","-0.85%"
"09/19/2022","11,953.27","11,753.60","11,956.79","11,752.43","231.53M","0.77%"
"09/16/2022","11,861.38","11,775.93","11,875.09","11,710.25","728.59M","-0.55%"
"09/15/2022","11,927.49","12,034.43","12,153.34","11,867.88","282.27M","-1.71%"
"09/14/2022","12,134.40","12,092.03","12,170.25","12,016.43","273.28M","0.84%"
"09/13/2022","12,033.62","12,364.83","12,420.01","12,004.42","361.85M","-5.54%"
"09/12/2022","12,739.72","12,649.23","12,752.83","12,639.76","226.04M","1.20%"
"09/09/2022","12,588.29","12,424.15","12,610.43","12,424.15","228.58M","2.17%"
"09/08/2022","12,321.19","12,139.57","12,374.13","12,120.26","231.14M","0.50%"
"09/07/2022","12,259.39","12,038.18","12,298.12","12,026.98","237.42M","2.07%"
"09/06/2022","12,011.31","12,106.57","12,152.42","11,928.81","244.57M","-0.72%"
"09/02/2022","12,098.44","12,392.45","12,451.28","12,035.53","249.11M","-1.44%"
"09/01/2022","12,274.62","12,158.88","12,290.33","12,012.98","277.40M","0.02%"
"08/31/2022","12,272.03","12,448.07","12,502.15","12,268.08","315.42M","-0.57%"
"08/30/2022","12,342.70","12,562.40","12,572.88","12,240.82","232.45M","-1.13%"
"08/29/2022","12,484.32","12,488.46","12,594.34","12,440.40","219.65M","-0.96%"
"08/26/2022","12,605.17","13,129.91","13,175.25","12,603.41","308.68M","-4.10%"
"08/25/2022","13,143.58","12,984.74","13,146.84","12,951.61","209.03M","1.75%"
"08/24/2022","12,917.86","12,876.23","12,995.14","12,843.58","179.36M","0.28%"
"08/23/2022","12,881.79","12,885.28","13,000.71","12,852.70","179.39M","-0.07%"
"08/22/2022","12,890.54","13,056.39","13,073.07","12,859.82","222.57M","-2.66%"
"08/19/2022","13,242.90","13,370.25","13,402.61","13,210.82","248.83M","-1.95%"
"08/18/2022","13,505.99","13,474.24","13,553.28","13,405.74","189.70M","0.26%"
"08/17/2022","13,470.86","13,499.24","13,591.58","13,389.82","197.26M","-1.21%"
"08/16/2022","13,635.21","13,617.66","13,720.91","13,508.47","180.39M","-0.23%"
"08/15/2022","13,667.18","13,529.66","13,685.65","13,524.53","166.36M","0.75%"
"08/12/2022","13,565.87","13,384.65","13,565.87","13,341.65","209.25M","2.06%"
"08/11/2022","13,291.99","13,471.03","13,555.38","13,271.35","198.56M","-0.65%"
"08/10/2022","13,378.32","13,330.66","13,386.85","13,220.05","255.82M","2.85%"
"08/09/2022","13,008.17","13,064.24","13,095.70","12,945.60","214.96M","-1.15%"
"08/08/2022","13,159.16","13,227.09","13,394.53","13,103.80","202.55M","-0.37%"
"08/05/2022","13,207.69","13,107.45","13,286.02","13,070.36","215.10M","-0.78%"
"08/04/2022","13,311.04","13,253.77","13,326.72","13,170.44","221.80M","0.44%"
"08/03/2022","13,253.26","12,983.58","13,289.19","12,974.85","284.79M","2.73%"
"08/02/2022","12,901.60","12,853.04","13,073.27","12,809.01","215.11M","-0.30%"
"08/01/2022","12,940.78","12,877.04","13,084.61","12,833.16","226.46M","-0.06%"
"07/29/2022","12,947.98","12,784.20","12,986.64","12,726.25","340.16M","1.81%"
"07/28/2022","12,717.87","12,580.61","12,741.83","12,433.55","257.67M","0.92%"
"07/27/2022","12,601.47","12,299.34","12,660.77","12,256.93","304.74M","4.26%"
"07/26/2022","12,086.90","12,248.21","12,259.01","12,051.21","229.65M","-1.96%"
"07/25/2022","12,328.41","12,391.21","12,415.59","12,244.40","190.24M","-0.55%"
"07/22/2022","12,396.47","12,575.76","12,662.86","12,322.82","236.15M","-1.77%"
"07/21/2022","12,619.41","12,466.13","12,620.50","12,351.42","222.30M","1.44%"
"07/20/2022","12,439.68","12,269.07","12,488.39","12,232.20","239.69M","1.55%"
"07/19/2022","12,249.42","12,046.69","12,258.37","11,967.92","267.09M","3.13%"
"07/18/2022","11,877.50","12,089.68","12,156.09","11,836.52","231.20M","-0.89%"
"07/15/2022","11,983.62","11,896.15","11,987.52","11,828.13","264.00M","1.83%"
"07/14/2022","11,768.40","11,637.18","11,801.11","11,488.27","204.76M","0.34%"
"07/13/2022","11,728.53","11,523.91","11,819.69","11,498.96","204.07M","-0.14%"
"07/12/2022","11,744.99","11,926.84","11,990.44","11,684.02","208.96M","-0.97%"
"07/11/2022","11,860.28","12,008.76","12,026.06","11,830.89","198.97M","-2.19%"
"07/08/2022","12,125.69","11,977.95","12,179.32","11,956.03","175.25M","0.14%"
"07/07/2022","12,109.05","11,913.73","12,137.71","11,897.51","224.25M","2.16%"
"07/06/2022","11,852.59","11,807.08","11,941.31","11,727.36","205.56M","0.62%"
"07/05/2022","11,779.91","11,419.34","11,781.74","11,366.07","246.77M","1.68%"
"07/01/2022","11,585.68","11,472.63","11,592.85","11,378.63","223.73M","0.71%"
"06/30/2022","11,503.72","11,532.32","11,650.97","11,322.86","293.08M","-1.33%"
"06/29/2022","11,658.26","11,619.01","11,710.21","11,537.72","191.33M","0.18%"
"06/28/2022","11,637.77","12,021.34","12,133.87","11,633.13","244.75M","-3.09%"
"06/27/2022","12,008.24","12,157.93","12,175.98","11,965.67","218.40M","-0.81%"
"06/24/2022","12,105.85","11,826.95","12,112.82","11,812.18","428.18M","3.49%"
"06/23/2022","11,697.68","11,622.09","11,729.62","11,515.49","231.63M","1.47%"
"06/22/2022","11,527.71","11,427.74","11,708.08","11,423.20","240.32M","-0.16%"
"06/21/2022","11,546.76","11,446.99","11,638.47","11,446.99","277.58M","2.49%"
"06/17/2022","11,265.99","11,172.65","11,357.97","11,089.93","648.78M","1.24%"
"06/16/2022","11,127.57","11,286.87","11,311.05","11,037.21","326.71M","-4.02%"
"06/15/2022","11,593.77","11,468.13","11,751.30","11,346.54","285.50M","2.49%"
"06/14/2022","11,311.69","11,385.18","11,418.22","11,205.92","240.09M","0.21%"
"06/13/2022","11,288.32","11,472.19","11,568.65","11,254.18","341.06M","-4.60%"
"06/10/2022","11,832.82","12,052.59","12,082.69","11,825.35","283.02M","-3.56%"
"06/09/2022","12,269.78","12,543.37","12,666.41","12,265.86","224.67M","-2.74%"
"06/08/2022","12,615.13","12,682.81","12,776.65","12,578.55","196.52M","-0.76%"
"06/07/2022","12,711.67","12,456.49","12,737.30","12,413.56","191.80M","0.89%"
"06/06/2022","12,599.63","12,745.89","12,804.46","12,534.58","199.82M","0.41%"
"06/03/2022","12,548.02","12,650.39","12,724.81","12,505.76","218.94M","-2.67%"
"06/02/2022","12,892.89","12,498.63","12,897.63","12,447.77","237.93M","2.75%"
"06/01/2022","12,548.36","12,750.31","12,820.47","12,457.91","207.11M","-0.74%"
"05/31/2022","12,642.10","12,688.95","12,762.84","12,482.33","418.67M","-0.31%"
"05/27/2022","12,681.42","12,421.80","12,682.58","12,405.29","247.78M","3.30%"
"05/26/2022","12,276.79","11,906.83","12,337.73","11,901.87","253.12M","2.79%"
"05/25/2022","11,943.93","11,732.45","12,028.89","11,714.27","226.97M","1.48%"
"05/24/2022","11,769.84","11,807.78","11,842.81","11,576.11","232.10M","-2.20%"
"05/23/2022","12,034.28","11,867.08","12,047.81","11,785.76","224.19M","1.68%"
"05/20/2022","11,835.62","12,037.03","12,044.70","11,492.29","310.72M","-0.34%"
"05/19/2022","11,875.63","11,872.56","12,066.85","11,795.79","275.82M","-0.44%"
"05/18/2022","11,928.31","12,352.92","12,389.96","11,887.00","280.61M","-5.06%"
"05/17/2022","12,564.10","12,496.63","12,572.99","12,333.99","234.46M","2.62%"
"05/16/2022","12,243.58","12,297.07","12,395.51","12,196.21","198.36M","-1.16%"
"05/13/2022","12,387.40","12,125.93","12,429.28","12,069.13","269.06M","3.70%"
"05/12/2022","11,945.50","11,790.13","12,128.73","11,692.12","324.80M","-0.18%"
"05/11/2022","11,967.56","12,240.21","12,470.89","11,939.09","301.24M","-3.06%"
"05/10/2022","12,345.86","12,496.84","12,537.89","12,173.47","303.31M","1.30%"
"05/09/2022","12,187.72","12,465.91","12,542.32","12,136.19","320.51M","-3.98%"
"05/06/2022","12,693.53","12,776.86","12,926.58","12,522.77","275.35M","-1.22%"
"05/05/2022","12,850.55","13,344.79","13,344.79","12,710.59","327.49M","-5.06%"
"05/04/2022","13,535.71","13,110.30","13,556.67","12,887.53","287.02M","3.41%"
"05/03/2022","13,089.90","13,045.35","13,178.74","12,982.70","209.20M","0.11%"
"05/02/2022","13,075.85","12,864.83","13,083.57","12,716.62","263.46M","1.72%"
"04/29/2022","12,854.80","13,274.94","13,428.53","12,835.48","319.45M","-4.47%"
"04/28/2022","13,456.06","13,254.96","13,542.56","13,038.17","282.58M","3.48%"
"04/27/2022","13,003.36","13,009.40","13,241.94","12,936.41","256.81M","-0.05%"
"04/26/2022","13,009.71","13,447.66","13,447.66","13,009.65","263.14M","-3.87%"
"04/25/2022","13,533.22","13,275.41","13,541.77","13,239.73","247.87M","1.32%"
"04/22/2022","13,356.87","13,714.63","13,769.40","13,342.79","247.88M","-2.65%"
"04/21/2022","13,720.45","14,174.92","14,277.21","13,682.68","231.64M","-1.99%"
"04/20/2022","13,998.53","14,246.20","14,263.61","13,962.86","217.57M","-1.49%"
"04/19/2022","14,210.26","13,882.75","14,236.51","13,844.74","187.17M","2.15%"
"04/18/2022","13,910.76","13,859.47","13,997.92","13,788.96","172.21M","0.13%"
"04/14/2022","13,893.22","14,225.47","14,235.39","13,884.82","223.06M","-2.28%"
"04/13/2022","14,217.29","13,939.61","14,258.81","13,919.48","189.62M","1.99%"
"04/12/2022","13,940.24","14,175.66","14,264.74","13,882.75","193.95M","-0.36%"
"04/11/2022","13,990.20","14,149.60","14,187.67","13,979.14","211.62M","-2.35%"
"04/08/2022","14,327.26","14,450.53","14,490.19","14,307.68","185.19M","-1.41%"
"04/07/2022","14,531.81","14,469.50","14,624.24","14,315.69","197.28M","0.23%"
"04/06/2022","14,498.89","14,600.30","14,639.35","14,395.40","240.71M","-2.17%"
"04/05/2022","14,820.64","15,109.27","15,120.67","14,782.57","209.49M","-2.24%"
"04/04/2022","15,159.58","14,903.38","15,161.89","14,884.57","206.00M","2.01%"
"04/01/2022","14,861.21","14,886.91","14,925.93","14,723.83","215.30M","0.15%"
"03/31/2022","14,838.49","15,074.24","15,088.38","14,835.16","282.14M","-1.55%"
"03/30/2022","15,071.55","15,177.15","15,229.01","15,010.34","206.58M","-1.10%"
"03/29/2022","15,239.32","15,142.93","15,265.42","15,039.61","220.57M","1.68%"
"03/28/2022","14,987.40","14,763.16","14,989.08","14,705.92","193.74M","1.58%"
"03/25/2022","14,754.31","14,766.90","14,805.88","14,577.59","186.56M","-0.08%"
"03/24/2022","14,765.69","14,529.72","14,767.73","14,440.67","221.27M","2.20%"
"03/23/2022","14,447.55","14,525.22","14,681.33","14,446.04","226.97M","-1.41%"
"03/22/2022","14,654.33","14,396.03","14,688.97","14,385.55","234.86M","1.94%"
